Neighborhood,Sector,Pop_1940,Pop_1950,Pop_1960,Pop_1970,Pop_1980,Pop_1990,Pop_2000,Pop_2010,Perc_Pop_Change_60-70,Perc_Pop_Change_70-80,Perc_Pop_Change_80-90,Perc_Pop_Change_90-00,Perc_Pop_Change_00-10,Pop_Perc_City_Total_2010,Area,Persons_per_acre_2010,Persons_per_acre_2000,Perc_African_American,Perc_Asian,Perc_Other,Perc_White,Perc_2+_Races,Perc_Hispanic,Perc_Pop_Age<5,Perc_Pop_Age5-19,Perc_Pop_Age_20-34,Perc_Pop_Age_35-59,Perc_Pop_Age 60-74,Perc_Pop_Age>75
Allegheny Center,3,4521,3862,2512,632,1586,1262,886,933,-0.748407643,1.509493671,-0.204287516,-0.297939778,0.053047404,0.003051972,134.4,6.941964286,6.592261905,0.485530547,0.060021436,0.006430868,0.408360129,0.0397,0.029,0.0419,0.217,0.2757,0.2243,0.1761,0.065
Allegheny West,3,3210,3313,2170,1124,820,654,508,462,-0.48202765,-0.270462633,-0.202439024,-0.22324159,-0.090551181,0.001511266,90.24,5.119680851,5.629432624,0.181818182,0.015151515,0.006493506,0.766233766,0.0303,0.028,0,0,0.0837,0.682,0.1255,0.1088
Allentown,6,8227,7487,6416,5361,4292,3600,3220,2500,-0.164432668,-0.199403096,-0.161230196,-0.105555556,-0.223602484,0.008177845,188.8,13.24152542,17.05508475,0.3512,0.0004,0.008,0.594,0.0464,0.023,0.0366,0.1485,0.2411,0.353,0.144,0.0767
Arlington,7,2702,3203,4430,3949,2294,2210,1999,1869,-0.108577878,-0.419093441,-0.036617262,-0.095475113,-0.065032516,0.006113757,300.8,6.213430851,6.645611702,0.198501873,0.001605136,0.003745318,0.764579989,0.0316,0.014,0.0691,0.1889,0.1945,0.3153,0.0888,0.1433
Arlington Heights,7,2413,2860,2272,2037,1466,1497,238,244,-0.103433099,-0.280314188,0.021145975,-0.841015364,0.025210084,0.000798158,84.48,2.888257576,2.817234848,0.840163934,0,0.016393443,0.094262295,0.0492,0.008,0.041,0.3925,0.1638,0.3072,0.0341,0.0614
Banksville,5,1214,1328,2641,4927,3831,4769,4540,4144,0.865581219,-0.222447737,0.244844688,-0.048018453,-0.08722467,0.013555596,620.16,6.682146543,7.320691434,0.040781853,0.050916988,0.00530888,0.881032819,0.022,0.014,0.0288,0.1112,0.2516,0.2982,0.0916,0.2185
Bedford Dwellings,15,2663,3870,4915,3800,2878,2317,2109,1202,-0.226856562,-0.242631579,-0.194927033,-0.089771256,-0.430061641,0.003931908,114.56,10.49231844,18.40956704,0.920133111,0.00249584,0.007487521,0.039933444,0.03,0.016,0.1912,0.1305,0.1405,0.2801,0.1696,0.0881
Beechview,5,10853,11994,14032,14360,11911,9311,8772,7974,0.023375143,-0.170543175,-0.218285618,-0.057888519,-0.090971272,0.026084055,934.4,8.533818493,9.387842466,0.120767494,0.015675947,0.027715074,0.809380487,0.0265,0.056,0.0562,0.153,0.2389,0.3318,0.1203,0.0998
Beltzhoover,6,8407,8153,7064,5908,4206,3338,2783,1925,-0.163646659,-0.288083954,-0.20637185,-0.166267226,-0.308300395,0.006296941,269.44,7.144447743,10.32883017,0.833246753,0.001558442,0.018701299,0.099220779,0.0473,0.02,0.0618,0.2683,0.1287,0.2918,0.1297,0.1198
Bloomfield,12,20708,20074,16715,14411,11761,10405,9089,8442,-0.137840263,-0.183887308,-0.115296318,-0.126477655,-0.071184949,0.027614948,449.28,18.7900641,20.23014601,0.087538498,0.064202796,0.01042407,0.815683487,0.0222,0.026,0.0369,0.0865,0.4022,0.2747,0.1256,0.074
Bluff,15,9391,8949,5955,4379,4723,3220,6423,6600,-0.264651553,0.078556748,-0.318229939,0.994720497,0.027557216,0.021589511,209.28,31.53669725,30.69094037,0.311666667,0.011060606,0.005757576,0.658333333,0.0132,0.024,0,0.3117,0.4008,0.2474,0.035,0.0052
Bon Air,6,814,1330,1500,1428,1144,1006,889,808,-0.048,-0.198879552,-0.120629371,-0.116302187,-0.091113611,0.00264308,200.32,4.033546326,4.437899361,0.043316832,0.014851485,0,0.934405941,0.0074,0.009,0.0362,0.1634,0.2017,0.2503,0.2275,0.121
Brighton Heights,2,11515,11847,11483,10604,9122,8580,8050,7247,-0.07654794,-0.139758582,-0.059416795,-0.061771562,-0.099751553,0.023705938,714.88,10.13736571,11.26063115,0.218435215,0.006485442,0.005243549,0.738788464,0.031,0.016,0.059,0.1969,0.208,0.3696,0.0917,0.0748
Brookline,5,14721,16559,20381,20336,17231,15488,14318,13214,-0.002207939,-0.152684894,-0.101154895,-0.075542355,-0.077105741,0.043224819,1332.48,9.916846782,10.74537704,0.046011806,0.011502951,0.007189345,0.914257606,0.021,0.016,0.0738,0.129,0.2557,0.3395,0.1263,0.0756
California-Kirkbride,3,5893,5428,4235,3007,1800,1156,973,761,-0.289964581,-0.401396741,-0.357777778,-0.158304498,-0.217882837,0.002489336,138.88,5.479550691,7.006048387,0.759526938,0,0.009198423,0.187910644,0.0434,0.007,0.1804,0.365,0.1022,0.3055,0.0469,0
Carrick,5,16534,16530,16480,15855,12930,11625,10685,10113,-0.037924757,-0.18448439,-0.100928074,-0.080860215,-0.05353299,0.03308102,1070.72,9.445046324,9.979266288,0.096113913,0.011173737,0.006130723,0.859883319,0.0267,0.016,0.0584,0.1525,0.1655,0.4063,0.1237,0.0935
